Civilization,Architectural Style,Wonder Name,Civilization bonuses,Specialty,Team bonus,Unique technologies,Unique units,Wonder
Aztecs,,,Start the game with an Eagle Scout. Villagers carry +5 extra resources. All military units are created 15% faster. Monks gain 5 HP for every researched Monastery technology. Start with +50 gold.,Monks and infantry,Relics generate +33% gold.,Atlatl Garland Wars,Jaguar Warrior,Great Pyramid of Tenochtitlan
Berbers,,,Villagers move +10% faster. Stable units are 15%/20% cheaper in the Castle/Imperial Age. Ships move +10% faster.,Navy and cavalry,Genitour are available at the Archery Range.,Kasbah Maghrabi Camels,Camel Archer,Hassan Tower
Britons,West European,Aachen Cathedral*,Town Centers cost -50% wood starting in the Castle Age. Foot archers (except Skirmishers) have +1/+2 range in the Castle/Imperial Age. Shepherds work 25% faster.,Foot archers,Archery Ranges work 20% faster.,Yeomen Warwolf,Longbowman,Aachen Cathedral
Burmese,,,Lumber Camp technologies are free. Infantry has +1/+2/+3 attack in the Feudal/Castle/Imperial Age. Monastery technologies are 50% cheaper.,Monks and elephants,Relics are visible on the map from the game start.,Howdah Manipur Cavalry,Arambai,Shwezigon Pagoda
Byzantines,Middle Eastern,Hagia Sophia,"Buildings have +10%/+20%/+30%/+40% HP in the Dark/Feudal/Castle/Imperial Age. Camels, Skirmishers, and the Spearman lines are 25% cheaper. Fire Ships attack 20% faster. Advancing to the Imperial Age is 33% cheaper. Town Watch is free.",Defense,Monks heal 50% faster.,Greek Fire Logistica,Cataphract,Hagia Sophia
Celts,West European,Rock of Cashel,Infantry units move 15% faster. Lumberjacks work 15% faster. Siege weapons fire +20% faster. Enemy herdables can be converted regardless of enemy units next to them.,Infantry and siege weapons,Siege Workshops work 20% faster.,Stronghold Furor Celtica,Woad Raider,Rock of Cashel
Chinese,Far Eastern (East Asian),Temple of Heaven,"Start game with three extra Villagers, but with -200 food and -50 wood. Town Center supports ten population (instead of five). Technologies are 10%/15%/20% cheaper in the Feudal/Castle/Imperial Age. Demolition Ships have +50% HP.",Archers,Farms start with +45 food.,Great Wall Rocketry,Chu Ko Nu,Temple of Heaven
Ethiopians,,,Archers fire +15% faster. Receive +100 food and +100 gold whenever a new Age is reached. The Pikeman upgrade is free.,Archers and siege weapons,Towers and Outposts have +3 Line of Sight.,Royal Heirs Torsion Engines,Shotel Warrior,Biete Medhane Alem
Franks,West European,Notre Dame de Reims,Farm upgrades are free. Castles are 25% cheaper. Cavalry have +20% HP. Foragers work 25% faster.,Cavalry,Knights have +2 Line of Sight.,Chivalry Bearded Axe,Throwing Axeman,St. Vitus Cathedral
Goths,Central European,Mausoleum of Theodoric,Infantry are 35% cheaper starting in the Feudal Age. Infantry have +1 attack bonus against standard buildings. Villagers have +5 attack against Wild Boars and carry +15 food from hunting. +10 population cap in the Imperial Age.,Infantry,Barracks work 20% faster.,Anarchy Perfusion,Huskarl,Mausoleum of Theoderic I
