Bonus Name,Aztecs,Berbers,Britons,Burmese,Byzantines,Celts,Chinese,Ethiopians,Franks,Goths,Huns,Incas,Indians,Italians,Japanese,Khmer,Koreans,Magyars,Malay,Malians,Mayans,Mongols,Persians,Portuguese,Saracens,Slavs,Spanish,Teutons,Turks,Vietnamese,Vikings
Arbalest_Attack_Range_vs_buildings_in_the_Imperial_Age,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arbalest_Attack_Range_vs_units_in_the_Imperial_Age,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Arbalest_creation_speed,22.95,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Arbalest_Gold_in_the_Imperial_Age,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,31.5,45,45,38.25,45,45,45,45,45,45,45
Arbalest_HP_rating_in_the_Castle_Age,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40
Arbalest_HP_rating_in_the_Feudal_Age,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40
Arbalest_HP_rating_in_the_Imperial_Age,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,48,40
Arbalest_Wood_in_the_Imperial_Age,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17.5,25,25,25,25,25,25,25,25,25,25
Archer_Attack_Range_vs_buildings_in_the_Castle_Age,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Archer_Attack_Range_vs_buildings_in_the_Imperial_Age,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Archer_Attack_Range_vs_units_in_the_Castle_Age,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Archer_Attack_Range_vs_units_in_the_Imperial_Age,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Archer_creation_speed,29.75,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Archer_gold_cost_in_the_Dark_Age,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,38.25,45,45,45,45,45,45,45
Archer_Gold_in_the_Castle_Age,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,36,45,45,38.25,45,45,45,45,45,45,45
Archer_Gold_in_the_Feudal_Age,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,40.5,45,45,38.25,45,45,45,45,45,45,45
Archer_Gold_in_the_Imperial_Age,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,31.5,45,45,38.25,45,45,45,45,45,45,45
Archer_HP_rating_in_the_Castle_Age,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,30
Archer_HP_rating_in_the_Feudal_Age,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,30
Archer_HP_rating_in_the_Imperial_Age,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,30
Archer_Wood_in_the_Castle_Age,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20,25,25,25,25,25,25,25,25,25,25
Archer_Wood_in_the_Feudal_Age,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,22.5,25,25,25,25,25,25,25,25,25,25
Archer_Wood_in_the_Imperial_Age,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17.5,25,25,25,25,25,25,25,25,25,25
Archers_firing_rate,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.3345,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03
Archery_Range_build_time,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,35,50,50,50,50
Archery_Range_cost_in_wood,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,148.75,175,175,175,175,175,175,175,175,175,175,175
Archery_Range_HP_upon_reaching_Castle_Age,1800,1800,1800,1800,2340,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
Archery_Range_HP_upon_reaching_Feudal_Age,1500,1500,1500,1500,1800,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
